enrollment_id,student_id,cohort_id,enroll_date,status,withdraw_date,withdraw_reason
E0001,100001,C01,2023-08-30,Completed,,
E0002,100002,C01,2023-09-08,Completed,,
E0003,100003,C01,2023-08-27,Completed,,
E0004,100004,C01,2023-08-28,Completed,,
E0005,100005,C01,2023-08-28,Completed,,
E0006,100006,C01,2023-09-01,Withdrawn,2024-04-29,Moved / left area
E0007,100007,C01,2023-08-27,Completed,,
E0008,100008,C01,2023-09-05,Completed,,
E0009,100009,C01,2023-08-24,Completed,,
E0010,100010,C01,2023-09-04,Withdrawn,2024-01-23,Schedule conflict
E0011,100011,C01,2023-08-25,Completed,,
E0012,100012,C01,2023-09-05,Completed,,
E0013,100013,C01,2023-09-08,Completed,,
E0014,100014,C01,2023-09-02,Completed,,
E0015,100015,C01,2023-09-03,Completed,,
E0016,100016,C01,2023-09-02,Completed,,
E0017,100017,C01,2023-09-05,Completed,,
E0018,100018,C01,2023-08-27,Completed,,
E0019,100019,C01,2023-08-28,Completed,,
E0020,100020,C01,2023-08-30,Completed,,
E0021,100021,C01,2023-09-02,Completed,,
E0022,100022,C01,2023-08-26,Completed,,
E0023,100023,C01,2023-08-26,Completed,,
E0024,100024,C02,2023-08-27,Completed,,
E0025,100025,C02,2023-08-31,Completed,,
E0026,100026,C02,2023-09-06,Completed,,
E0027,100027,C02,2023-09-06,Completed,,
E0028,100028,C02,2023-09-07,Completed,,
E0029,100029,C02,2023-09-02,Completed,,
E0030,100030,C02,2023-08-23,Completed,,
E0031,100031,C02,2023-09-01,Withdrawn,2024-04-20,Schedule conflict
E0032,100032,C02,2023-09-02,Completed,,
E0033,100033,C02,2023-09-04,Completed,,
E0034,100034,C02,2023-08-23,Completed,,
E0035,100035,C02,2023-09-06,Completed,,
E0036,100036,C02,2023-08-29,Completed,,
E0037,100037,C02,2023-08-23,Completed,,
E0038,100038,C02,2023-08-31,Withdrawn,2024-04-11,Moved / left area
E0039,100039,C02,2023-09-06,Completed,,
E0040,100040,C02,2023-09-06,Completed,,
E0041,100041,C02,2023-09-04,Completed,,
E0042,100042,C02,2023-08-29,Completed,,
E0043,100043,C02,2023-09-04,Completed,,
E0044,100044,C02,2023-09-02,Completed,,
E0045,100045,C03,2023-12-27,Completed,,
E0046,100046,C03,2023-12-23,Completed,,
E0047,100047,C03,2023-12-20,Withdrawn,2024-03-07,Work or family obligations
E0048,100048,C03,2024-01-04,Completed,,
E0049,100049,C03,2023-12-22,Completed,,
E0050,100050,C03,2023-12-24,Completed,,
E0051,100051,C03,2023-12-20,Completed,,
E0052,100052,C03,2024-01-03,Completed,,
E0053,100053,C03,2023-12-26,Withdrawn,2024-02-15,Found employment
E0054,100054,C03,2023-12-28,Withdrawn,2024-05-03,Work or family obligations
E0055,100055,C03,2024-01-01,Completed,,
E0056,100056,C03,2024-01-05,Completed,,
E0057,100057,C03,2023-12-29,Completed,,
E0058,100058,C03,2024-01-02,Withdrawn,2024-04-23,Found employment
E0059,100059,C03,2023-12-24,Completed,,
E0060,100060,C03,2024-01-02,Completed,,
E0061,100061,C03,2023-12-19,Completed,,
E0062,100062,C03,2023-12-28,Withdrawn,2024-03-12,Found employment
E0063,100063,C04,2024-01-18,Completed,,
E0064,100064,C04,2024-01-28,Completed,,
E0065,100065,C04,2024-01-29,Completed,,
E0066,100066,C04,2024-01-17,Completed,,
E0067,100067,C04,2024-01-16,Completed,,
E0068,100068,C04,2024-01-18,Completed,,
E0069,100069,C04,2024-01-19,Completed,,
E0070,100070,C04,2024-01-25,Completed,,
E0071,100071,C04,2024-01-26,Completed,,
E0072,100072,C04,2024-01-19,Completed,,
E0073,100073,C04,2024-01-24,Completed,,
E0074,100074,C04,2024-01-18,Completed,,
E0075,100075,C04,2024-01-27,Completed,,
E0076,100076,C04,2024-01-30,Completed,,
E0077,100077,C04,2024-01-23,Completed,,
E0078,100078,C04,2024-01-19,Completed,,
E0079,100079,C04,2024-01-18,Completed,,
E0080,100080,C04,2024-01-16,Completed,,
E0081,100081,C04,2024-01-26,Completed,,
E0082,100082,C05,2024-07-25,Completed,,
E0083,100083,C05,2024-07-22,Completed,,
E0084,100084,C05,2024-08-09,Completed,,
E0085,100085,C05,2024-08-04,Completed,,
E0086,100086,C05,2024-08-02,Completed,,
E0087,100087,C05,2024-08-02,Completed,,
E0088,100088,C05,2024-08-03,Withdrawn,2024-11-16,Lost interest
E0089,100089,C05,2024-08-08,Completed,,
E0090,100090,C05,2024-07-30,Completed,,
E0091,100091,C05,2024-07-27,Completed,,
E0092,100092,C05,2024-07-28,Completed,,
E0093,100093,C05,2024-07-28,Completed,,
E0094,100094,C05,2024-08-01,Completed,,
E0095,100095,C05,2024-07-28,Completed,,
E0096,100096,C05,2024-08-01,Completed,,
E0097,100097,C05,2024-07-24,Completed,,
E0098,100098,C05,2024-08-03,Completed,,
E0099,100099,C05,2024-08-03,Completed,,
E0100,100100,C06,2024-08-22,Completed,,
E0101,100101,C06,2024-08-25,Completed,,
E0102,100068,C06,2024-08-20,Completed,,
E0103,100102,C06,2024-08-27,Completed,,
E0104,100103,C06,2024-09-03,Completed,,
E0105,100009,C06,2024-08-29,Completed,,
E0106,100104,C06,2024-08-25,Withdrawn,2024-12-05,Schedule conflict
E0107,100040,C06,2024-09-01,Completed,,
E0108,100105,C06,2024-09-03,Completed,,
E0109,100106,C06,2024-08-19,Withdrawn,2025-02-19,Lost interest
E0110,100107,C06,2024-08-22,Completed,,
E0111,100108,C06,2024-08-26,Completed,,
E0112,100109,C06,2024-09-04,Withdrawn,2025-04-30,Academic difficulty
E0113,100110,C06,2024-08-29,Completed,,
E0114,100038,C06,2024-08-20,Completed,,
E0115,100111,C06,2024-09-02,Completed,,
E0116,100112,C06,2024-09-02,Completed,,
E0117,100113,C06,2024-08-31,Completed,,
E0118,100114,C06,2024-08-24,Completed,,
E0119,100115,C06,2024-08-31,Completed,,
E0120,100116,C06,2024-09-01,Completed,,
E0121,100117,C06,2024-08-26,Withdrawn,2025-01-27,Transportation
E0122,100118,C06,2024-08-24,Completed,,
E0123,100014,C06,2024-09-04,Completed,,
E0124,100119,C07,2024-08-25,Completed,,
E0125,100120,C07,2024-08-30,Withdrawn,2025-04-25,Transportation
E0126,100121,C07,2024-08-30,Completed,,
E0127,100122,C07,2024-08-20,Completed,,
E0128,100123,C07,2024-08-19,Completed,,
E0129,100124,C07,2024-08-28,Completed,,
E0130,100125,C07,2024-08-30,Completed,,
E0131,100029,C07,2024-08-21,Withdrawn,2024-11-20,Moved / left area
E0132,100126,C07,2024-09-03,Completed,,
E0133,100127,C07,2024-09-03,Completed,,
E0134,100034,C07,2024-08-22,Completed,,
E0135,100128,C07,2024-08-26,Completed,,
E0136,100129,C07,2024-08-27,Completed,,
E0137,100130,C07,2024-09-05,Completed,,
E0138,100008,C07,2024-09-01,Completed,,
E0139,100131,C07,2024-08-20,Completed,,
E0140,100132,C07,2024-09-03,Completed,,
E0141,100133,C07,2024-09-01,Completed,,
E0142,100134,C07,2024-09-02,Completed,,
E0143,100135,C07,2024-08-25,Completed,,
E0144,100136,C07,2024-09-03,Completed,,
E0145,100137,C07,2024-08-19,Completed,,
E0146,100024,C07,2024-08-30,Completed,,
E0147,100138,C08,2025-01-27,Completed,,
E0148,100139,C08,2025-01-31,Completed,,
E0149,100140,C08,2025-01-22,Completed,,
E0150,100141,C08,2025-01-13,Completed,,
E0151,100142,C08,2025-01-22,Withdrawn,2025-02-09,Academic difficulty
E0152,100143,C08,2025-01-31,Withdrawn,2025-02-17,Lost interest
E0153,100144,C08,2025-01-21,Completed,,
E0154,100145,C08,2025-01-27,Completed,,
E0155,100146,C08,2025-01-29,Withdrawn,2025-02-14,Moved / left area
E0156,100147,C08,2025-01-19,Completed,,
E0157,100148,C09,2025-05-26,Withdrawn,2025-06-26,Schedule conflict
E0158,100149,C09,2025-06-12,Completed,,
E0159,100150,C09,2025-06-10,Completed,,
E0160,100151,C09,2025-06-07,Withdrawn,2025-07-06,Moved / left area
E0161,100152,C09,2025-06-03,Completed,,
E0162,100153,C09,2025-06-08,Completed,,
E0163,100154,C09,2025-06-03,Completed,,
E0164,100155,C09,2025-06-05,Completed,,
E0165,100156,C09,2025-05-27,Completed,,
E0166,100157,C10,2025-08-18,Completed,,
E0167,100158,C10,2025-08-20,Withdrawn,2026-03-02,Transportation
E0168,100159,C10,2025-08-27,Completed,,
E0169,100160,C10,2025-08-28,Withdrawn,2026-02-19,Moved / left area
E0170,100161,C10,2025-09-05,Completed,,
E0171,100162,C10,2025-08-20,Completed,,
E0172,100163,C10,2025-09-01,Withdrawn,2026-01-03,Transportation
E0173,100164,C10,2025-08-28,Completed,,
E0174,100165,C10,2025-08-22,Completed,,
E0175,100166,C10,2025-08-26,Completed,,
E0176,100167,C10,2025-08-18,Completed,,
E0177,100024,C10,2025-08-29,Completed,,
E0178,100168,C10,2025-08-18,Completed,,
E0179,100169,C10,2025-09-05,Completed,,
E0180,100038,C10,2025-08-23,Completed,,
E0181,100170,C10,2025-08-23,Withdrawn,2026-02-27,Lost interest
E0182,100171,C10,2025-08-26,Withdrawn,2026-01-23,Academic difficulty
E0183,100172,C10,2025-09-02,Completed,,
E0184,100173,C10,2025-08-23,Completed,,
E0185,100034,C10,2025-08-26,Completed,,
E0186,100174,C10,2025-08-26,Completed,,
E0187,100175,C10,2025-08-27,Completed,,
E0188,100176,C11,2025-08-29,Completed,,
E0189,100177,C11,2025-09-02,Completed,,
E0190,100178,C11,2025-08-18,Completed,,
E0191,100179,C11,2025-08-29,Withdrawn,2026-03-16,Academic difficulty
E0192,100180,C11,2025-09-01,Completed,,
E0193,100181,C11,2025-08-25,Completed,,
E0194,100182,C11,2025-08-18,Completed,,
E0195,100183,C11,2025-09-01,Completed,,
E0196,100184,C11,2025-09-05,Completed,,
E0197,100185,C11,2025-08-19,Completed,,
E0198,100186,C11,2025-08-30,Completed,,
E0199,100187,C11,2025-09-02,Completed,,
E0200,100188,C11,2025-09-05,Completed,,
E0201,100189,C11,2025-08-28,Completed,,
E0202,100190,C11,2025-08-27,Completed,,
E0203,100121,C11,2025-08-25,Completed,,
E0204,100191,C11,2025-08-24,Completed,,
E0205,100192,C11,2025-09-01,Completed,,
E0206,100116,C11,2025-08-22,Completed,,
E0207,100193,C11,2025-08-25,Completed,,
E0208,100194,C11,2025-08-30,Completed,,
E0209,100195,C12,2026-04-02,Active,,
E0210,100196,C12,2026-04-02,Active,,
E0211,100197,C12,2026-04-03,Active,,
E0212,100198,C12,2026-04-04,Active,,
E0213,100199,C12,2026-04-03,Active,,
E0214,100200,C12,2026-03-30,Active,,
E0215,100201,C12,2026-04-13,Active,,
E0216,100202,C12,2026-04-02,Active,,
E0217,100203,C12,2026-04-04,Active,,
E0218,100204,C12,2026-04-03,Active,,
E0219,100205,C12,2026-04-17,Active,,
E0220,100206,C12,2026-04-16,Active,,
E0221,100207,C12,2026-04-05,Active,,
E0222,100208,C12,2026-04-02,Active,,
E0223,100209,C12,2026-04-08,Active,,
E0224,100210,C12,2026-03-30,Withdrawn,2026-06-24,Found employment
E0225,100211,C12,2026-04-09,Active,,
E0226,100212,C12,2026-04-14,Withdrawn,2026-08-27,Work or family obligations
E0227,100213,C12,2026-04-05,Active,,
E0228,100214,C12,2026-04-05,Active,,
