term_id,term_name,start_date,end_date,school_year
T01,Fall 2023,2023-09-01,2023-12-31,2023-24
T02,Spring 2024,2024-01-01,2024-06-14,2023-24
T03,Summer 2024,2024-06-15,2024-08-31,2023-24
T04,Fall 2024,2024-09-01,2024-12-31,2024-25
T05,Spring 2025,2025-01-01,2025-06-14,2024-25
T06,Summer 2025,2025-06-15,2025-08-31,2024-25
T07,Fall 2025,2025-09-01,2025-12-31,2025-26
T08,Spring 2026,2026-01-01,2026-06-14,2025-26
T09,Summer 2026,2026-06-15,2026-08-31,2025-26
T10,Fall 2026,2026-09-01,2026-12-31,2026-27
T11,Spring 2027,2027-01-01,2027-06-14,2026-27
T12,Summer 2027,2027-06-15,2027-08-31,2026-27
