attendance_id,enrollment_id,session_date,status
A008669,E0123,2024-10-03,Excused
A013520,E0209,2026-04-23,Present
A013172,E0204,2025-10-30,Present
A006082,E0088,2024-10-31,Present
A002479,E0034,2024-06-11,Tardy
A001371,E0019,2024-06-13,Present
A012666,E0197,2025-10-23,Tardy
A009578,E0136,2025-01-21,Tardy
A003890,E0052,03/18/2024,PRESENT
A006339,E0091,2024-12-04,Present
A009319,E0132,2025-05-22,present
A008166,E0115,2025-03-20,Present
A009523,E0135,2025-03-25,Present
A006642,E0094,2025-01-28,Absent
A007269,E0102,2024-10-10,Tardy
A015026,E0226,08/05/2026,present
A011193,E0175,2026-01-27,Present
A012138,E0189,2026-02-05,Present
A013884,E0213,2026-05-14,Present
A007214,E0101,2024-12-19,Present
A008690,E0123,2025-01-02,Absent
A004843,E0065,2024-05-21,Present
A011586,E0180,2026-05-28,Present
A009391,E0133,2025-05-20,Absent
A003785,E0051,2024-03-07,PRESENT
A007937,E0112,2024-12-19,Present
A008512,E0120,2025-01-14,Present
A002087,E0029,2024-02-13,Present
A011282,E0176,2026-03-26,Present
A002055,E0029,2023-10-10,Present
A013534,E0209,2026-05-19,Present
A001769,E0025,2023-12-05,Present
A009471,E0134,2025-06-12,Present
A004013,E0054,2024-03-14,Present
A011292,E0176,2026-05-07,Present
A009882,E0140,03/04/2025,Present
A004094,E0055,2024-04-11,Present
A014714,E0222,2026-07-21,Present
A010595,E0164,07/09/2025,Present
A011926,E0186,2026-02-19,Present
A014366,E0218,07/28/2026,Present
A009417,E0134,2024-11-12,Present
A012098,E0188,2026-06-04,Present
A007022,E0099,2024-08-13,Present
A009333,E0133,2024-10-03,Present
A004960,E0068,2024-05-21,Present
A009623,E0137,2024-09-26,PRESENT
A013035,E0202,2025-12-02,PRESENT
A003405,E0046,2024-06-19,Present
A014020,E0214,2026-08-06,Present
A000837,E0012,2024-05-14,Present
A007437,E0104,2025-01-14,Present
A009704,E0138,2024-10-24,present
A012293,E0192,2025-09-09,Present
A012018,E0187,2026-05-07,Present
A001808,E0025,2024-04-30,P
A010392,E0149,2025-02-24,Present
A004703,E0062,2024-01-16,Present
A010792,E0168,2026-05-14,Present
A010001,E0142,2024-11-12,P
A003059,E0042,2024-05-30,PRESENT
A012457,E0194,2025-11-18,Present
A009998,E0142,2024-10-31,Present
A006030,E0087,2025-01-30,Present
A013619,E0210,2026-05-13,Present
A012573,E0195,2026-05-19,P
A002251,E0031,2024-04-02,Absent
A000151,E0003,2023-09-12,Present
A002178,E0030,2024-04-09,Present
A014720,E0222,2026-07-30,Present
A014616,E0221,2026-07-02,Present
A001689,E0024,2023-11-09,Present
A014393,E0218,2026-09-14,Present
A014656,E0221,2026-09-10,Present
A007388,E0103,2025-04-08,Present
A001351,E0019,2024-04-02,Present
A010506,E0159,2025-06-17,Present
A003289,E0045,2024-05-22,Excused
A009259,E0132,2024-10-01,Present
A000380,E0006,2023-09-26,absent
A006166,E0089,2025-01-08,Present
A012795,E0198,06/09/2026,Present
A000388,E0006,2023-10-24,PRESENT
A004150,E0056,2024-01-25,Present
A014035,E0214,2026-09-02,Present
A001651,E0023,2024-04-02,Tardy
A011563,E0180,2026-03-03,Present
A009547,E0136,09/17/2024,Present
A008824,E0125,2024-11-05,Present
A011896,E0186,2025-10-16,Present
A007730,E0109,10/08/2024,Present
A010415,E0151,2025-02-06,Excused
A001036,E0015,2024-02-08,Present
A005717,E0084,11/13/2024,Tardy
A014899,E0225,05/28/2026,Present
A008964,E0127,2024-12-10,Present
A000567,E0008,04/04/2024,PRESENT
A004926,E0067,2024-06-06,Present
A012905,E0200,2026-02-03,Present
A007629,E0107,2025-04-01,Present
A012254,E0191,2025-10-09,Present
A012724,E0197,06/11/2026,Present
A005206,E0075,2024-02-13,Present
A006177,E0089,2025-01-28,Present
A012674,E0197,2025-11-20,Present
A008853,E0125,2025-03-04,Present
A013952,E0213,2026-09-10,excused
A009369,E0133,2025-02-25,Present
A003223,E0045,2024-01-23,Present
A001200,E0017,2024-03-28,Present
A000103,E0002,2023-12-21,Present
A004124,E0055,2024-06-10,Abs
A008318,E0117,04/10/2025,Present
A008609,E0122,2024-11-19,Present
A009691,E0138,2024-09-10,Present
A004231,E0056,2024-06-20,Present
A013598,E0209,2026-09-08,Present
A001271,E0018,2024-03-14,Excused
A003026,E0042,02/01/2024,Tardy
A010684,E0166,2026-06-11,Present
A009717,E0138,12/17/2024,Present
A015024,E0226,2026-08-03,Present
A004920,E0067,2024-05-16,Present
A009531,E0135,2025-04-29,Present
A008535,E0120,2025-04-03,P
A005734,E0084,2024-12-19,Present
A009053,E0128,2025-02-13,Present
A005362,E0079,2024-02-13,Present
A002862,E0040,2023-12-07,Present
A004741,E0063,2024-02-22,Present
A003706,E0050,04/18/2024,Present
A004541,E0060,2024-03-21,Present
A004721,E0062,2024-02-15,Present
A011210,E0175,2026-03-26,Present
A002715,E0038,2023-10-12,Present
A003208,E0044,2024-05-28,Present
A012159,E0189,2026-05-02,Present
A012315,E0192,2025-12-02,Tardy
A000938,E0014,2023-11-07,Present
A000915,E0013,2024-05-23,Present
A012476,E0194,2026-02-12,Present
A012248,E0191,2025-09-18,Present
A007794,E0110,2025-01-09,Present
A003215,E0045,2024-01-09,Present
A003887,E0052,2024-03-12,
A000252,E0004,2023-12-19,Present
A000340,E0005,2024-02-08,Present
A002808,E0039,2024-02-27,Present
A007250,E0101,05/13/2025,Present
A003107,E0043,2024-02-22,Tardy
A006162,E0089,2024-12-19,Present
A014574,E0221,04/21/2026,Present
A006019,E0087,2025-01-13,Tardy
A004716,E0062,2024-02-07,Present
A010033,E0142,2025-03-20,PRESENT
A009754,E0138,2025-05-13,Present
A006021,E0087,2025-01-15,
A001624,E0023,2023-12-21,Present
A003945,E0052,2024-06-26,Present
A010845,E0170,2025-09-16,present
A006062,E0088,2024-09-26,Tardy
A010638,E0166,2025-12-11,Present
A005283,E0077,2024-02-08,Present
A007483,E0105,2024-09-24,Present
A008875,E0126,10/08/2024,Present
A010147,E0144,2024-11-12,Present
A002289,E0032,2024-01-18,P
A011653,E0182,2025-11-11,Tardy
A003335,E0046,2024-02-13,PRESENT
A001057,E0015,2024-04-25,Tardy
A009684,E0137,2025-05-22,Present
A009576,E0136,2025-01-14,Excused
A007002,E0098,2025-01-07,Exc.
A009040,E0128,2024-12-19,Present
A014932,E0225,07/27/2026,Present
A013896,E0213,2026-06-04,Present
A003699,E0050,2024-04-02,Present
A003943,E0052,2024-06-24,Present
A007991,E0113,2024-11-21,Present
A004829,E0065,2024-03-28,PRESENT
A011524,E0180,2025-09-25,Present
A009255,E0132,2024-09-17,P
A002454,E0034,2024-03-12,Excused
A008914,E0126,2025-03-11,PRESENT
A009226,E0130,2025-05-27,Present
A010561,E0162,2025-07-07,Present
A002324,E0032,2024-05-23,Present
A004991,E0069,2024-04-23,Tardy
A009446,E0134,2025-03-11,Present
A010183,E0144,2025-04-03,Tardy
A011266,E0176,2026-01-29,Present
A012688,E0197,2026-01-29,Present
A001359,E0019,2024-05-02,Present
A011672,E0183,2025-09-18,PRESENT
A013281,E0205,2026-03-31,Present
A014276,E0217,07/23/2026,Present
A000089,E0002,2023-10-26,Present
A009800,E0139,2025-01-30,Present
A002141,E0030,2023-11-16,PRESENT
A012440,E0194,2025-09-18,Present
A009342,E0133,2024-11-05,Tardy
A000908,E0013,2024-04-30,Present
A002555,E0035,2024-06-13,Tardy
A002880,E0040,2024-02-15,Present
A000543,E0008,2024-01-11,Present
A013686,E0210,2026-09-08,Present
A009350,E0133,2024-12-10,Present
A008100,E0114,2025-04-22,Present
A001403,E0020,01/11/2024,Present
A002772,E0039,2023-10-10,Present
A005091,E0072,2024-02-20,Present
A005413,E0080,03/26/2024,PRESENT
A001548,E0022,2023-12-19,Present
A006463,E0093,2024-08-17,Present
A014758,E0223,2026-05-05,Present
A003614,E0049,2024-05-02,Present
A008049,E0114,2024-10-01,Present
A006072,E0088,2024-10-15,Present
A011258,E0176,12/18/2025,Present
A012986,E0201,2026-03-05,Present
A004654,E0061,2024-04-18,Present
A000736,E0011,2024-02-08,PRESENT
A003298,E0045,2024-06-06,Present
A003965,E0053,02/01/2024,Present
A004128,E0055,06/17/2024,Present
A002639,E0037,10/10/2023,Present
A015124,E0227,2026-09-14,Present
A007112,E0099,2025-02-05,Present
A007079,E0099,2024-11-20,Absent
A010072,E0143,2024-11-05,Present
A010075,E0143,2024-11-14,Tardy
A000412,E0006,2024-01-30,Present
