enrollment_id,student_id,cohort_id,enroll_date,status,withdraw_date,withdraw_reason
E0070,100070,C04,2024-01-25,Completed,,
E0208,100194,C11,2025-08-30,Completed,,
E0181,100170,C10,2025-08-23,Withdrawn,2026-02-27,Lost interest
E0010,100010,C01,09/04/2023,Withdrawn,01/23/2024,Schedule conflict
E0128,100123,C07,2024-08-19,Completed,,
E0110,100107,C06,2024-08-22,Completed,,
E0197,100185,C11,2025-08-19,Completed,,
E0094,100094,C05,2024-08-01,Completed,,
E0224,100210,C12,2026-03-30,Withdrawn,2026-03-25,Found employment
E0016,100016,C01,2023-09-02,Completed,,
E0226,100212,C12,2026-04-14,withdrawn,08/27/2026,Work or family obligations
E0056,100056,C03,2024-01-05,Completed,,
E9001,999901,C12,2026-04-02,Active,,
E0031,100031,C02,09/01/2023,Withdrawn,2024-04-20,Schedule conflict
E0202,100190,C11,2025-08-27,Completed,,
E0148,100139,C08,2025-01-31,Completed,,
E0020,100020,C01,2023-08-30,Completed,,
E0113,100110,C06,29-Aug-2024,Completed,,
E0227,100213,C12,05-Apr-2026,Active,,
E0025,100025,C02,08/31/2023,Completed,,
E0210,100196,C12,2026-04-02,Active,,
E0011,100011,C01,2023-08-25,Completed,,
E0096,100096,C05,2024-08-01,Completed,,
E0145,100137,C07,2024-08-19,Completed,,
E0222,100208,C12,2026-04-02,active,,
E0026,100026,C02,09/06/2023,Completed,,
E0087,100087,C05,2024-08-02,Completed,,
E0184,100173,C10,2025-08-23,Completed,,
E0085,100085,C05,08/04/2024,Completed,,
E0019,100019,C01,2023-08-28,Completed,,
E0147,100138,C08,2025-01-27,Completed,,
E0067,100067,C04,01/16/2024,Completed,,
E0046,100046,C03,2023-12-23,Complete,,
E0140,100132,C07,2024-09-03,Completed,,
E0126,100121,C07,30-Aug-2024,COMPLETED,,
E0171,100162,C10,08/20/2025,Completed,,
E0165,100156,C09,27-May-2025,Completed,,
E0017,100017,C01,09/05/2023,Completed,,
E0157,100148,C09,2025-05-26,Withdrawn,06/26/2025,Schedule conflict
E0178,100168,C10,08/18/2025,Completed,,
E0162,100153,C09,2025-06-08,Completed,,
E0205,100192,C11,2025-09-01,Completed,,
E0125,100120,C07,30-Aug-2024,W,2025-04-25,Transportation
E0061,100061,C03,12/19/2023,Completed,,
E0200,100188,C11,2025-09-05,completed,,
E0218,100204,C12,2026-04-03,Active,,
E0083,100083,C05,07/22/2024,Completed,,
E0118,100114,C06,2024-08-24,Completed,,
E0156,100147,C08,2025-01-19,Complete,,
E0149,100140,C08,2025-01-22,Completed,,
E0159,100150,C09,06/10/2025,Completed,,
E0010,100010,C01,09/04/2023,Withdrawn,01/23/2024,Schedule conflict
E0163,100154,C09,2025-06-03,COMPLETED,,
E0220,100206,C12,2026-04-16,Active,,
E0109,100106,C06,2024-08-19,Withdrawn,02/19/2025,Lost interest
E0098,100098,C05,2024-08-03,Completed,,
E0169,100160,C10,08/28/2025,Withdrawn,,Moved / left area
E0074,100074,C04,2024-01-18,Complete,,
E0039,100039,C02,2023-09-06,Completed,,
E0105,100009,C06,08/29/2024,Complete,,
E0173,100164,C10,2025-08-28,Completed,,
E0172,100163,C10,2025-09-01,withdrawn,2026-01-03,Transportation
E0112,100109,C06,2024-09-04,Withdrawn,30-Apr-2025,Academic difficulty
E0223,100209,C12,2026-04-08,Active,,
E0068,100068,C04,2024-01-18,Completed,,
E0219,100205,C12,04/17/2026,Active,,
E0114,100038,C06,08/20/2024,Complete,,
E0069,100069,C04,2024-01-19,completed,,
E0076,100076,C04,2024-01-30,Completed,,
E0030,100030,C02,2023-08-23,Completed,,
E0115,100111,C06,09/02/2024,Completed,,
E0127,100122,C07,2024-08-20,Completed,,
E0080,100080,C04,2024-01-16,Completed,,
E0006,100006,C01,2023-09-01,Withdrawn,04/29/2024,Moved / left area
E0057,100057,C03,2023-12-29,Completed,,
E0121,100117,C06,2024-08-26,Dropped,2025-01-27,
E0142,100134,C07,2024-09-02,Completed,,
E0153,100144,C08,2025-01-21,Completed,,
E0066,100066,C04,2024-01-17,Complete,,
E0136,100129,C07,2024-08-27,Completed,,
E0199,100187,C11,2025-09-02,completed,,
E0139,100131,C07,2024-08-20,Completed,,
E0032,100032,C02,2023-09-02,Completed,,
E0013,100013,C01,2023-09-08,Completed,,
E0036,100036,C02,2023-08-29,Completed,,
E0029,100029,C02,2023-09-02,Completed,,
E0043,100043,C02,04-Sep-2023,Completed,,
E0097,100097,C05,2024-07-24,Completed,,
E0120,100116,C06,09/01/2024,Completed,,
E0225,100211,C12,2026-04-09,Active,,
E0052,100052,C03,01/03/2024,completed,,
E0185,100034,C10,08/26/2025,Completed,,
E0186,100174,C10,2025-08-26,Completed,,
E0077,100077,C04,2024-01-23,Completed,,
E0042,100042,C02,2023-08-29,Completed,,
E0102,100068,C06,2024-08-20,Completed,,
E0143,100135,C07,2024-08-25,Completed,,
E0079,100079,C04,01/18/2024,COMPLETED,,
E0138,100008,C07,2024-09-01,Completed,,
E0027,100027,C02,2023-09-06,Completed,,
E0154,100145,C08,2025-01-27,Completed,,
E0193,100181,C11,2025-08-25,Completed,,
E0187,100175,C10,2025-08-27,Completed,,
E0001,100001,C01,08/30/2023,Completed,,
E0003,100003,C01,2023-08-27,Completed,,
E0078,100078,C04,2024-01-19,Completed,,
E0047,100047,C03,2023-12-20,Withdrawn,07-Mar-2024,Work or family obligations
E0101,100101,C06,25-Aug-2024,Completed,,
E0116,100112,C06,2024-09-02,Completed,,
E0141,100133,C07,2024-09-01,Completed,,
E0168,100159,C10,27-Aug-2025,Completed,,
E0091,100091,C05,27-Jul-2024,Completed,,
E0086,100086,C05,2024-08-02,Completed,,
E0166,100157,C10,18-Aug-2025,Completed,,
E0155,100146,C08,01/29/2025,Withdrawn,02/14/2025,Moved / left area
E0099,100099,C05,08/03/2024,completed,,
E0037,100037,C02,08/23/2023,Completed,,
E0137,100130,C07,2024-09-05,Complete,,
E0062,100062,C03,2023-12-28,withdrawn,03/12/2024,Found employment
E0023,100023,C01,2023-08-26,Completed,,
E0119,100115,C06,2024-08-31,Completed,,
E0217,100203,C12,2026-04-04,Active,,
E0133,100127,C07,03-Sep-2024,COMPLETED,,
E0034,100034,C02,2023-08-23,Completed,,
E0012,100012,C01,2023-09-05,Completed,,
