grade_id,enrollment_id,course_id,term_id,score,letter_grade
G00498,E0179,CRS05,T08,75.2,C
G00245,E0088,CRS16,T05,,W
G00553,E0197,CRS03,T08,84.6,B
G00214,E0076,CRS11,T03,79.0,C
G00550,E0196,CRS03,T08,76.9,C
G00507,E0182,CRS05,T08,,W
G00606,E0218,CRS15,T09,88.0,B
G00078,E0026,CRS06,T02,91.5,A
G00532,E0190,CRS03,T08,73.6,C
G00146,E0049,CRS15,T02,84.7,B
G00269,E0096,CRS16,T05,91.5,A
G00032,E0011,CRS02,T02,67.6,D
G00056,E0019,CRS02,T02,66.2,D
G00091,E0031,CRS04,T01,76.0,C
G00415,E0145,CRS08,T05,73.6,C
G00077,E0026,CRS05,T02,90.1,A
G00003,E0001,CRS03,T02,73.2,C
G00480,E0173,CRS05,T08,,C
G00189,E0064,CRS10,T02,71.4,C
G00614,E0222,CRS15,T09,75.6,C
G00132,E0044,CRS06,T02,75.7,C
G00149,E0050,CRS15,T02,79.5,C
G00050,E0017,CRS02,T02,93.9,A
G00627,E0228,CRS14,T09,87.3,B
G00478,E0172,CRS06,T08,,W
G00111,E0037,CRS06,T02,75.0,C
G00159,E0053,CRS16,T03,,W
G00594,E0212,CRS15,T09,84.7,B
G00626,E0227,CRS15,T09,76.0,C
G00404,E0141,CRS09,T05,71.0,C
G00164,E0055,CRS15,T02,85.4,B
G00265,E0095,CRS15,T04,67.0,D
G00257,E0092,CRS16,T05,78.5,C
G00290,E0103,CRS03,T05,76.5,C
G00133,E0045,CRS14,T02,68.6,D
G00332,E0117,CRS03,T05,88.6,B
G00454,E0164,CRS12,T06,94.7,A
G00618,E0224,CRS15,T09,,W
G00317,E0112,CRS03,T05,,W
G00319,E0113,CRS02,T05,87.6,B
G00358,E0126,CRS08,T05,100.0,A
G00040,E0014,CRS01,T01,78.6,C
G00087,E0029,CRS06,T02,82.1,B
G00339,E0120,CRS01,T04,69.9,D
G00418,E0146,CRS08,T05,79.4,C
G00210,E0074,CRS11,T03,75.8,C
G00474,E0171,CRS05,T08,81.1,B
G00572,E0204,CRS01,T07,87.3,B
G00079,E0027,CRS04,T01,68.2,D
G00351,E0124,CRS07,T04,82.7,B
G00177,E0059,CRS16,T03,70.7,C
G00287,E0102,CRS03,T05,79.6,C
G00011,E0004,CRS02,T02,75.3,C
G00262,E0094,CRS15,T04,84%,B
G00471,E0170,CRS05,T08,81.4,B
G00175,E0059,CRS14,T02,66.7,D
G00136,E0046,CRS14,T02,72.8,C
G00457,E0165,CRS13,T06,76.6,C
G00212,E0075,CRS11,T03,91.1,A
G00031,E0011,CRS01,T01,65.5,D
G00585,E0208,CRS02,T08,65.9,D
G00495,E0178,CRS05,T08,81.6,B
G00342,E0121,CRS01,T04,64.5,D
G00042,E0014,CRS03,T02,77.8,c
G00588,E0209,CRS15,T09,76.1,C
G00266,E0095,CRS16,T05,72.7,C
G00057,E0019,CRS03,T02,67.9,D
G00405,E0142,CRS07,T04,79.9,C
G00540,E0193,CRS02,T08,82.8,B
G00397,E0139,CRS08,T05,68.4,D
G00156,E0052,CRS16,T03,94.6,A
G00025,E0009,CRS01,T01,86.1,B
G00083,E0028,CRS05,T02,89.8,B
G00365,E0128,CRS09,T05,84.9,B
G00216,E0077,CRS11,T03,86.4,B
G00599,E0215,CRS14,T09,89.1,B
G00488,E0176,CRS04,T07,80.1,B
G00071,E0024,CRS05,T02,65.5,D
G00364,E0128,CRS08,T05,86.3,B
G00611,E0221,CRS14,T09,82.8,B
G00282,E0101,CRS01,T04,77.0,C
G00061,E0021,CRS01,T01,84.1,B
G00406,E0142,CRS08,T05,105,C
G00413,E0144,CRS09,T05,75.6,c
G00211,E0075,CRS10,T02,83.2,B
G00600,E0215,CRS15,T09,81.3,B
G00166,E0056,CRS14,T02,73.3,C
G00248,E0089,CRS16,T05,79.2,C
G00276,E0099,CRS14,T04,75.0,C
G00258,E0093,CRS14,T04,69.3,D
G00291,E0104,CRS01,T04,95.1,A
G00458,E0166,CRS04,T07,74.4,C
G00030,E0010,CRS03,T02,,W
G00193,E0066,CRS10,T02,95.9,A
G00102,E0034,CRS06,T02,71.2,C
G00305,E0108,CRS03,T05,88.3,B
G00229,E0083,CRS15,T04,82.4,B
G00279,E0100,CRS01,T04,76.2,C
G00299,E0106,CRS03,T05,,W
G00275,E0098,CRS16,T05,71.0,C
G00205,E0072,CRS10,T02,74.0,C
G00430,E0152,CRS12,T05,79.5,C
G00453,E0163,CRS13,T06,83.8,B
G00596,E0213,CRS15,T09,87.7,b
G00300,E0107,CRS01,T04,79.7,C
G00082,E0028,CRS04,T01,93.8,A
G00228,E0083,CRS14,T04,87.5,B
G00110,E0037,CRS05,T02,71.7,c
G00249,E0090,CRS14,T04,60.4,a
G00426,E0150,CRS12,T05,77.0,c
G00064,E0022,CRS01,T01,77.5,C
G00548,E0196,CRS01,T07,76.1,C
G00073,E0025,CRS04,T01,92.1,A
G00569,E0203,CRS01,T07,68.1,D
G00285,E0102,CRS01,T04,105,C
G00119,E0040,CRS05,T02,84.6,B
G00590,E0210,CRS15,T09,85.7,B
G00292,E0104,CRS02,T05,,B
G00381,E0134,CRS07,T04,88.6,B
G00213,E0076,CRS10,T02,84.3,B
G00141,E0047,CRS16,T03,,W
G00389,E0136,CRS09,T05,74.9,C
G00323,E0114,CRS03,T05,81.7,b
G00219,E0079,CRS10,T02,84.1,B
G00463,E0167,CRS06,T08,,W
G00512,E0184,CRS04,T07,80.1,B
G00336,E0119,CRS01,T04,63.7,D
G00007,E0003,CRS01,T01,80.2,B
G00105,E0035,CRS06,T02,83.9,B
G00115,E0039,CRS04,T01,74.8,C
G00534,E0191,CRS02,T08,56.2,F
G00185,E0062,CRS15,T02,,W
G00239,E0086,CRS16,T05,81.0,B
G00517,E0185,CRS06,T08,68.9,D
G00437,E0155,CRS13,T05,,W
G00341,E0120,CRS03,T05,74.0,C
G00424,E0149,CRS12,T05,70.6,C
G00303,E0108,CRS01,T04,75.5,C
G00564,E0201,CRS02,T08,,C
G00396,E0139,CRS07,T04,66.8,D
G00297,E0106,CRS01,T04,,W
G00486,E0175,CRS05,T08,85.8,B
G00043,E0015,CRS01,T01,74.1,C
G00074,E0025,CRS05,T02,84.4,B
G00546,E0195,CRS02,T08,91.5,A
G00067,E0023,CRS01,T01,77.9,C
G00012,E0004,CRS03,T02,69.9,D
G00602,E0216,CRS15,T09,85.0,B
G00593,E0212,CRS14,T09,83.7,B
G00421,E0147,CRS13,T05,73.8,c
G00400,E0140,CRS08,T05,86.7,B
G00357,E0126,CRS07,T04,110,A
G00084,E0028,CRS06,T02,87.3,B
G00288,E0103,CRS01,T04,73.3,C
G00370,E0130,CRS08,T05,85.2,B
G00080,E0027,CRS05,T02,67.7,D
G00024,E0008,CRS03,T02,75.3,C
G00584,E0208,CRS01,T07,70.5,C
G00311,E0110,CRS03,T05,77.0,C
G00589,E0210,CRS14,T09,84.6,B
G00197,E0068,CRS10,T02,76.4,C
G00482,E0174,CRS04,T07,84.4,B
G00260,E0093,CRS16,T05,75.0,C
G00138,E0046,CRS16,T03,74.2,C
G00232,E0084,CRS15,T04,74.9,C
G00306,E0109,CRS01,T04,80.3,B
G00178,E0060,CRS14,T02,64.1,A
G00010,E0004,CRS01,T01,71.7,C
G00204,E0071,CRS11,T03,78.8,c
G00514,E0184,CRS06,T08,73%,C
G00329,E0116,CRS03,T05,69.4,D
G00616,E0223,CRS15,T09,76.1,C
G00272,E0097,CRS16,T05,89.2,B
G00085,E0029,CRS04,T01,84.2,B
G00182,E0061,CRS15,T02,82.9,B
G00347,E0122,CRS03,T05,84.7,B
G00447,E0160,CRS13,T06,,W
G00519,E0186,CRS05,T08,89.3,B
G00504,E0181,CRS05,T08,,w
G00250,E0090,CRS15,T04,58.6,A
G00179,E0060,CRS15,T02,78.0,c
G00221,E0080,CRS10,T02,85.0,B
G00154,E0052,CRS14,T02,86.3,B
G00076,E0026,CRS04,T01,,B
G00093,E0031,CRS06,T02,,W
G00500,E0180,CRS04,T07,90.3,A
G00069,E0023,CRS03,T02,75.2,C
G00016,E0006,CRS01,T01,76.6,C
G00200,E0069,CRS11,T03,65.4,D
G00574,E0204,CRS03,T08,88.9,b
G00089,E0030,CRS05,T02,80.5,B
G00527,E0189,CRS01,T07,75.4,C
G00118,E0040,CRS04,T01,78.6,C
G00425,E0149,CRS13,T05,76.6,C
G00451,E0162,CRS13,T06,100.0,A
G00034,E0012,CRS01,T01,80.1,B
G00001,E0001,CRS01,T01,71.6,C
G00623,E0226,CRS15,T09,76.3,C
G00209,E0074,CRS10,T02,76.1,C
G00382,E0134,CRS08,T05,,B
G00579,E0206,CRS02,T08,73.3,C
G00523,E0187,CRS06,T08,67.9,D
G00278,E0099,CRS16,T05,75.5,C
G00023,E0008,CRS02,T02,83.1,B
G00612,E0221,CRS15,T09,81.5,B
G00117,E0039,CRS06,T02,72.3,C
G00090,E0030,CRS06,T02,78.7,C
G00183,E0061,CRS16,T03,69.0,D
G00251,E0090,CRS16,T05,59.8,A
G00261,E0094,CRS14,T04,80.6,B
G00019,E0007,CRS01,T01,83.5,B
G00335,E0118,CRS03,T05,82%,b
G00355,E0125,CRS08,T05,74.3,C
G00145,E0049,CRS14,T02,80.9,B
G00312,E0111,CRS01,T04,85.0,B
G00313,E0111,CRS02,T05,84.1,B
G00595,E0213,CRS14,T09,82.6,B
G00399,E0140,CRS07,T04,90.7,A
G00586,E0208,CRS03,T08,73.4,C
G00444,E0159,CRS12,T06,82.8,B
G00375,E0132,CRS07,T04,87%,b
G00445,E0159,CRS13,T06,76.9,C
G00168,E0056,CRS16,T03,73.8,C
G00055,E0019,CRS01,T01,72.2,C
G00443,E0158,CRS13,T06,73.4,C
G00047,E0016,CRS02,T02,84%,B
G00094,E0032,CRS04,T01,82.9,B
G00293,E0104,CRS03,T05,86.2,B
G00429,E0151,CRS13,T05,,W
G00109,E0037,CRS04,T01,76.9,C
G00302,E0107,CRS03,T05,74.8,C
G00196,E0067,CRS11,T03,78.2,C
G00592,E0211,CRS15,T09,75.9,C
G00522,E0187,CRS05,T08,63.7,D
G00487,E0175,CRS06,T08,,A
G00236,E0085,CRS16,T05,85.7,B
G00576,E0205,CRS02,T08,78.8,C
G00423,E0148,CRS13,T05,86.9,B
G00008,E0003,CRS02,T02,85.5,B
G00577,E0205,CRS03,T08,83.1,B
G00439,E0156,CRS13,T05,76.2,C
G00410,E0143,CRS09,T05,,C
G00235,E0085,CRS15,T04,84.6,B
G00605,E0218,CRS14,T09,91.7,A
G00516,E0185,CRS05,T08,64.9,D
G00070,E0024,CRS04,T01,66.5,D
G00560,E0200,CRS01,T07,75.1,C
G00449,E0161,CRS13,T06,69.2,D
G00491,E0177,CRS04,T07,84.9,B
G00497,E0179,CRS04,T07,70.3,C
G00376,E0132,CRS08,T05,90.7,A
G00320,E0113,CRS03,T05,88.2,B
G00150,E0050,CRS16,T03,85.0,B
G00125,E0042,CRS05,T02,73.7,C
G00568,E0202,CRS03,T08,96.6,A
G00541,E0193,CRS03,T08,83.8,B
G00186,E0062,CRS16,T03,,W
G00544,E0194,CRS03,T08,79.1,C
G00322,E0114,CRS02,T05,81.0,B
G00621,E0225,CRS15,T09,81.4,B
G00580,E0206,CRS03,T08,74.4,C
G00506,E0182,CRS04,T07,69.5,D
G00142,E0048,CRS14,T02,80%,C
G00321,E0114,CRS01,T04,78.5,C
G00020,E0007,CRS02,T02,79.2,C
G00173,E0058,CRS15,T02,,W
G00520,E0186,CRS06,T08,88.0,B
G00502,E0180,CRS06,T08,90.3,A
G00026,E0009,CRS02,T02,78.2,C
G00417,E0146,CRS07,T04,84.6,B
G00494,E0178,CRS04,T07,79.8,C
G00427,E0150,CRS13,T05,69.1,D
G00328,E0116,CRS02,T05,72.5,C
G00246,E0089,CRS14,T04,80.2,B
G00350,E0123,CRS03,T05,850,b
G00273,E0098,CRS14,T04,72.8,C
G00155,E0052,CRS15,T02,87.3,B
G00127,E0043,CRS04,T01,66.2,D
G00551,E0197,CRS01,T07,80.3,B
G00114,E0038,CRS06,T02,,W
G00535,E0191,CRS03,T08,,W
G00174,E0058,CRS16,T03,,W
G00058,E0020,CRS01,T01,88.0,B
G00356,E0125,CRS09,T05,,W
G00223,E0081,CRS10,T02,67.3,D
G00281,E0100,CRS03,T05,76.8,C
G00018,E0006,CRS03,T02,,W
G00330,E0117,CRS01,T04,87.7,B
G00256,E0092,CRS15,T04,82.8,B
G00337,E0119,CRS02,T05,61.4,D
G00603,E0217,CRS14,T09,71.7,C
G00191,E0065,CRS10,T02,80.8,B
G00353,E0124,CRS09,T05,69.6,D
G00552,E0197,CRS02,T08,81.2,B
G00301,E0107,CRS02,T05,77.9,C
G00095,E0032,CRS05,T02,80.3,B
G00181,E0061,CRS14,T02,74.9,C
G00409,E0143,CRS08,T05,80.4,B
G00366,E0129,CRS07,T04,72.7,C
G00363,E0128,CRS07,T04,-1,B
G00345,E0122,CRS01,T04,83.1,B
G00006,E0002,CRS03,T02,90.4,A
G00046,E0016,CRS01,T01,75.7,C
G00408,E0143,CRS07,T04,77.5,C
G00432,E0153,CRS12,T05,79.1,C
G00422,E0148,CRS12,T05,93.6,A
G00017,E0006,CRS02,T02,71.9,C
G00049,E0017,CRS01,T01,100.0,A
G00609,E0220,CRS14,T09,89.6,B
G00575,E0205,CRS01,T07,83.9,B
G00004,E0002,CRS01,T01,90.5,A
G00361,E0127,CRS08,T05,84.7,B
G00333,E0118,CRS01,T04,84.1,B
G00489,E0176,CRS05,T08,75.7,C
G00412,E0144,CRS08,T05,83.8,B
G00484,E0174,CRS06,T08,74.1,c
G00334,E0118,CRS02,T05,86.3,B
G00226,E0082,CRS15,T04,72.4,C
G00027,E0009,CRS03,T02,85.5,B
G00479,E0173,CRS04,T07,74.3,C
G00264,E0095,CRS14,T04,76.4,c
G00051,E0017,CRS03,T02,99.2,A
G00230,E0083,CRS16,T05,87.1,B
G00038,E0013,CRS02,T02,73.8,C
G00158,E0053,CRS15,T02,,W
G00238,E0086,CRS15,T04,81.9,B
G00604,E0217,CRS15,T09,72.8,C
G00176,E0059,CRS15,T02,70.9,C
G00528,E0189,CRS02,T08,76.8,C
G00542,E0194,CRS01,T07,78.1,c
G00195,E0067,CRS10,T02,81.9,B
G00530,E0190,CRS01,T07,82.1,B
G00383,E0134,CRS09,T05,75.4,C
G00608,E0219,CRS15,T09,88.1,B
G00536,E0192,CRS01,T07,79.0,C
G00068,E0023,CRS02,T02,78.9,C
G00354,E0125,CRS07,T04,74.7,C
G00169,E0057,CRS14,T02,80.9,b
G00466,E0168,CRS06,T08,80.5,B
G00163,E0055,CRS14,T02,80.4,B
G00310,E0110,CRS02,T05,81.5,B
G00194,E0066,CRS11,T03,93.3,A
G00384,E0135,CRS07,T04,85.0,B
G00153,E0051,CRS16,T03,81.5,B
G00362,E0127,CRS09,T05,80.8,B
G00617,E0224,CRS14,T09,64.2,D
G00227,E0082,CRS16,T05,68.6,D
G00368,E0129,CRS09,T05,70.1,C
G00510,E0183,CRS05,T08,92.5,A
G00104,E0035,CRS05,T02,90.3,A
G00435,E0154,CRS13,T05,81.2,B
G00075,E0025,CRS06,T02,81.5,B
G00470,E0170,CRS04,T07,82.3,B
G00607,E0219,CRS14,T09,96.5,A
G00120,E0040,CRS06,T02,68.8,D
G00431,E0152,CRS13,T05,,W
G00578,E0206,CRS01,T07,71.2,C
G00592,E0211,CRS15,T09,75.9,C
G00208,E0073,CRS11,T03,80.8,B
G00371,E0130,CRS09,T05,82%,B
G00391,E0137,CRS08,T05,67.2,D
G00378,E0133,CRS07,T04,70.2,C
G00450,E0162,CRS12,T06,100.0,A
G00009,E0003,CRS03,T02,86.9,B
G00420,E0147,CRS12,T05,75.9,C
G00037,E0013,CRS01,T01,77.3,C
G00140,E0047,CRS15,T02,,W
G00254,E0091,CRS16,T05,65.0,D
G00304,E0108,CRS02,T05,84.9,B
G00434,E0154,CRS12,T05,75.6,C
G00369,E0130,CRS07,T04,79.8,C
G00060,E0020,CRS03,T02,87.2,B
G00112,E0038,CRS04,T01,73.7,C
G00538,E0192,CRS03,T08,83.5,B
G00582,E0207,CRS02,T08,83.1,B
G00518,E0186,CRS04,T07,87.3,b
G00263,E0094,CRS16,T05,79.2,C
G00524,E0188,CRS01,T07,89.8,B
G00298,E0106,CRS02,T05,,W
G00151,E0051,CRS14,T02,,B
G00267,E0096,CRS14,T04,87.8,B
G00543,E0194,CRS02,T08,73.7,C
G00360,E0127,CRS07,T04,87.2,B
G00555,E0198,CRS02,T08,65.5,D
G00039,E0013,CRS03,T02,75.8,C
G00481,E0173,CRS06,T08,70.6,C
G00308,E0109,CRS03,T05,,W
G00199,E0069,CRS10,T02,65.6,D
G00352,E0124,CRS08,T05,82.7,B
G00394,E0138,CRS08,T05,69.6,D
G00147,E0049,CRS16,T03,80.7,B
G00583,E0207,CRS03,T08,88.2,B
G00557,E0199,CRS01,T07,84.6,B
G00148,E0050,CRS14,T02,80.0,B
G00622,E0226,CRS14,T09,86.0,B
G00349,E0123,CRS02,T05,88.4,B
G00326,E0115,CRS03,T05,84.4,B
G00582,E0207,CRS02,T08,83.1,B
G00124,E0042,CRS04,T01,70.1,C
G00529,E0189,CRS03,T08,71.7,C
G00097,E0033,CRS04,T01,68.9,D
G00144,E0048,CRS16,T03,75.5,C
G00240,E0087,CRS14,T04,70.9,C
G00395,E0138,CRS09,T05,69.5,D
G00537,E0192,CRS02,T08,82.3,B
G00098,E0033,CRS05,T02,70.1,C
G00372,E0131,CRS07,T04,,W
G00325,E0115,CRS02,T05,89.5,B
G00280,E0100,CRS02,T05,76.3,C
G00294,E0105,CRS01,T04,110,B
G00255,E0092,CRS14,T04,85.0,b
G00401,E0140,CRS09,T05,92.0,A
G00123,E0041,CRS06,T02,72.6,C
G00184,E0062,CRS14,T02,81.6,B
G00203,E0071,CRS10,T02,70.5,C
G00324,E0115,CRS01,T04,88.3,B
G00247,E0089,CRS15,T04,77.6,C
G00416,E0145,CRS09,T05,71.2,C
G00465,E0168,CRS05,T08,82.2,B
G00452,E0163,CRS12,T06,77.4,C
G00545,E0195,CRS01,T07,82.0,b
G00464,E0168,CRS04,T07,80.0,B
G00554,E0198,CRS01,T07,69.2,D
G00433,E0153,CRS13,T05,79.5,C
G00126,E0042,CRS06,T02,66.5,D
G00403,E0141,CRS08,T05,74.2,C
G00601,E0216,CRS14,T09,90.4,A
G00619,E0224,CRS16,T10,,W
G00224,E0081,CRS11,T03,70%,C
G00343,E0121,CRS02,T05,,W
G00054,E0018,CRS03,T02,76.3,C
G00220,E0079,CRS11,T03,83.6,B
G00130,E0044,CRS04,T01,74.3,C
G00570,E0203,CRS02,T08,77.9,C
G00438,E0156,CRS12,T05,84.6,B
G00539,E0193,CRS01,T07,90.0,A
G00573,E0204,CRS02,T08,91.9,A
G00440,E0157,CRS12,T06,,w
G00101,E0034,CRS05,T02,73.1,C
G00448,E0161,CRS12,T06,63.2,D
G00387,E0136,CRS07,T04,76.7,C
G00610,E0220,CRS15,T09,90.2,A
G00295,E0105,CRS02,T05,79.6,C
G00268,E0096,CRS15,T04,86.8,B
G00052,E0018,CRS01,T01,84.5,B
G00442,E0158,CRS12,T06,76.5,C
G00469,E0169,CRS06,T08,,W
G00113,E0038,CRS05,T02,68.1,D
G00180,E0060,CRS16,T03,73.1,C
G00468,E0169,CRS05,T08,,W
G00513,E0184,CRS05,T08,80.6,B
G00501,E0180,CRS05,T08,90.7,A
G00374,E0131,CRS09,T05,,W
G00315,E0112,CRS01,T04,77.4,C
G00152,E0051,CRS15,T02,83.0,B
G00172,E0058,CRS14,T02,61.0,A
G00234,E0085,CRS14,T04,87.0,B
G00307,E0109,CRS02,T05,,W
G00598,E0214,CRS15,T09,61.2,D
G00165,E0055,CRS16,T03,80.9,B
G00318,E0113,CRS01,T04,93.5,a
G00137,E0046,CRS15,T02,78.4,C
G00411,E0144,CRS07,T04,83.4,B
G00559,E0199,CRS03,T08,78.3,C
G00198,E0068,CRS11,T03,66.9,D
G00359,E0126,CRS09,T05,100.0,a
G00259,E0093,CRS15,T04,69.0,D
G00233,E0084,CRS16,T05,75.4,C
G00515,E0185,CRS04,T07,68.9,D
G00116,E0039,CRS05,T02,73.4,C
G00121,E0041,CRS04,T01,67.7,D
G00483,E0174,CRS05,T08,82.6,B
G00283,E0101,CRS02,T05,73.6,C
G00377,E0132,CRS09,T05,92.4,A
G00385,E0135,CRS08,T05,85.1,B
G00225,E0082,CRS14,T04,73.0,C
G00597,E0214,CRS14,T09,-1,F
G00508,E0182,CRS06,T08,,W
G00473,E0171,CRS04,T07,87.6,B
G00348,E0123,CRS01,T04,85.9,B
G00128,E0043,CRS05,T02,81.6,B
G00620,E0225,CRS14,T09,79.0,C
G00446,E0160,CRS12,T06,88%,B
G00286,E0102,CRS02,T05,79.8,C
G00581,E0207,CRS01,T07,78.6,C
G00044,E0015,CRS02,T02,73.5,C
G00108,E0036,CRS06,T02,88.8,B
G00531,E0190,CRS02,T08,80.1,B
G00496,E0178,CRS06,T08,79.7,C
G00134,E0045,CRS15,T02,71.9,C
G00441,E0157,CRS13,T06,,W
G00062,E0021,CRS02,T02,79.8,C
G00045,E0015,CRS03,T02,71%,C
G00170,E0057,CRS15,T02,79.9,C
G00066,E0022,CRS03,T02,80.2,B
G00284,E0101,CRS03,T05,72.0,C
G00086,E0029,CRS05,T02,87.5,B
G00243,E0088,CRS14,T04,80.2,B
G00187,E0063,CRS10,T02,79.6,C
G00327,E0116,CRS01,T04,72.8,C
G00160,E0054,CRS14,T02,76.5,C
G00013,E0005,CRS01,T01,66.1,D
G00036,E0012,CRS03,T02,79.7,c
G00029,E0010,CRS02,T02,,W
G00171,E0057,CRS16,T03,80.3,B
G00143,E0048,CRS15,T02,74.2,C
G00237,E0086,CRS14,T04,82.5,B
G00533,E0191,CRS01,T07,65.6,D
G00525,E0188,CRS02,T08,86.0,B
G00591,E0211,CRS14,T09,77.8,C
G00222,E0080,CRS11,T03,86.1,B
G00571,E0203,CRS03,T08,70.2,C
G00096,E0032,CRS06,T02,76.1,C
G00241,E0087,CRS15,T04,74.5,C
G00461,E0167,CRS04,T07,74.8,C
G00547,E0195,CRS03,T08,93.1,A
G00207,E0073,CRS10,T02,80.9,B
G00393,E0138,CRS07,T04,73.7,C
G00398,E0139,CRS09,T05,63.8,D
G00526,E0188,CRS03,T08,87.5,B
G00218,E0078,CRS11,T03,88.3,B
G00005,E0002,CRS02,T02,94.3,A
G00558,E0199,CRS02,T08,82.2,B
G00099,E0033,CRS06,T02,65.9,D
G00407,E0142,CRS09,T05,76.7,C
G00503,E0181,CRS04,T07,73.0,C
G00048,E0016,CRS03,T02,89.9,B
G00033,E0011,CRS03,T02,67.5,d
G00201,E0070,CRS10,T02,71.9,C
G00135,E0045,CRS16,T03,66.2,D
G00028,E0010,CRS01,T01,81.5,B
G00549,E0196,CRS02,T08,69.0,D
G00231,E0084,CRS14,T04,81.0,B
G00490,E0176,CRS06,T08,77.6,C
G00379,E0133,CRS08,T05,63.7,D
G00289,E0103,CRS02,T05,75.7,C
G00419,E0146,CRS09,T05,82.4,B
G00392,E0137,CRS09,T05,71.4,C
G00499,E0179,CRS06,T08,69.3,D
G00139,E0047,CRS14,T02,80.1,B
G00063,E0021,CRS03,T02,79.4,C
G00472,E0170,CRS06,T08,78.9,C
G00129,E0043,CRS06,T02,70.5,c
G00613,E0222,CRS14,T09,73.7,C
G00521,E0187,CRS04,T07,65.5,D
G00065,E0022,CRS02,T02,78.4,C
G00015,E0005,CRS03,T02,63.7,A
G00157,E0053,CRS14,T02,,W
G00041,E0014,CRS02,T02,75.7,C
G00493,E0177,CRS06,T08,85.0,B
G00380,E0133,CRS09,T05,67.0,D
G00188,E0063,CRS11,T03,83.1,B
G00217,E0078,CRS10,T02,79.7,C
G00053,E0018,CRS02,T02,80.5,B
G00338,E0119,CRS03,T05,62.8,D
G00296,E0105,CRS03,T05,80.7,B
G00252,E0091,CRS14,T04,69.7,D
G00462,E0167,CRS05,T08,,W
G00456,E0165,CRS12,T06,81.7,B
G00628,E0228,CRS15,T09,80.3,B
G00270,E0097,CRS14,T04,82.9,B
G00202,E0070,CRS11,T03,66.4,D
G00162,E0054,CRS16,T03,,W
G00556,E0198,CRS03,T08,68.8,D
G00402,E0141,CRS07,T04,78.7,C
G00477,E0172,CRS05,T08,,W
G00106,E0036,CRS04,T01,100.0,A
G00566,E0202,CRS01,T07,89.8,B
G00390,E0137,CRS07,T04,67.5,D
G00002,E0001,CRS02,T02,72.4,C
G00587,E0209,CRS14,T09,77.2,C
G00562,E0200,CRS03,T08,72.2,C
G00081,E0027,CRS06,T02,73.1,C
G00206,E0072,CRS11,T03,76.9,C
G00035,E0012,CRS02,T02,77.9,C
G00509,E0183,CRS04,T07,94.0,A
G00428,E0151,CRS12,T05,,W
G00455,E0164,CRS13,T06,96.5,A
G00367,E0129,CRS08,T05,71.3,C
G00092,E0031,CRS05,T02,74.9,c
G00340,E0120,CRS02,T05,69.3,D
G00565,E0201,CRS03,T08,74.6,C
G00346,E0122,CRS02,T05,83.4,B
G00242,E0087,CRS16,T05,69.0,D
G00014,E0005,CRS02,T02,72.8,C
G00316,E0112,CRS02,T05,76.5,C
G00388,E0136,CRS08,T05,78.6,C
G00274,E0098,CRS15,T04,63.8,D
G00167,E0056,CRS15,T02,80.1,B
G00625,E0227,CRS14,T09,76.6,C
G00485,E0175,CRS04,T07,82.6,B
G00624,E0226,CRS16,T10,,W
G00505,E0181,CRS06,T08,,W
G00244,E0088,CRS15,T04,,W
G00567,E0202,CRS02,T08,87.0,B
G00563,E0201,CRS01,T07,71.2,C
G00190,E0064,CRS11,T03,77.8,C
G00476,E0172,CRS04,T07,72.3,c
G00511,E0183,CRS06,T08,96.3,A
G00059,E0020,CRS02,T02,91.4,A
G00475,E0171,CRS06,T08,91.6,A
G00561,E0200,CRS02,T08,67.4,D
G00253,E0091,CRS15,T04,73.3,C
G00022,E0008,CRS01,T01,86.6,B
G00314,E0111,CRS03,T05,86.3,B
G00460,E0166,CRS06,T08,71.9,C
G00161,E0054,CRS15,T02,,W
G00277,E0099,CRS15,T04,71.5,C
G00192,E0065,CRS11,T03,71.4,C
G00386,E0135,CRS09,T05,84.5,B
G00414,E0145,CRS07,T04,70.8,C
G00492,E0177,CRS05,T08,86.1,B
G00344,E0121,CRS03,T05,,W
G00309,E0110,CRS01,T04,87.0,B
G00131,E0044,CRS05,T02,69.4,D
G00100,E0034,CRS04,T01,70.4,C
G00373,E0131,CRS08,T05,,W
